Parallel mode ----------------------------------------------------------------------------------------
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=5
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=6
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=2
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=3
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=7
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=9
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=8
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=4
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=10
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=1
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=16
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=19
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=21
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=22
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=23
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=29
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=32
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=39
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=40
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=42
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=50
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=51
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=71
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=82
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=84
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=85
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=111
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=133
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=156
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=179
*2s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=196
*4s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=1502
*4s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=1596
*4s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=1617
*4s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=1628
*4s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=1688
*4s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=1701
*4s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=1723
*4s: GLB=275385.006, best=2451975.000, gap=88.769%, AF=0.886, #solved=1728
*4s: GLB=296432.324, best=2451975.000, gap=87.910%, AF=0.886, #solved=1764
*4s: GLB=296432.324, best=2451975.000, gap=87.910%, AF=0.886, #solved=2230
*5s: GLB=296432.324, best=2451975.000, gap=87.910%, AF=0.886, #solved=2550
*5s: GLB=296432.324, best=2451975.000, gap=87.910%, AF=0.886, #solved=2752
*5s: GLB=296432.324, best=2451975.000, gap=87.910%, AF=0.886, #solved=2774
*5s: GLB=296432.324, best=2451975.000, gap=87.910%, AF=0.886, #solved=2919
*5s: GLB=296432.324, best=2451975.000, gap=87.910%, AF=0.886, #solved=3001
*5s: GLB=296432.324, best=2451975.000, gap=87.910%, AF=0.886, #solved=3106
*5s: GLB=296432.324, best=2451975.000, gap=87.910%, AF=0.886, #solved=3199
*5s: GLB=296432.324, best=2451975.000, gap=87.910%, AF=0.886, #solved=3205
*5s: GLB=296432.324, best=2451975.000, gap=87.910%, AF=0.886, #solved=3227
*5s: GLB=296432.324, best=2451975.000, gap=87.910%, AF=0.886, #solved=3260
*5s: GLB=296432.324, best=2451975.000, gap=87.910%, AF=0.886, #solved=3320
*5s: GLB=296432.324, best=2451975.000, gap=87.910%, AF=0.886, #solved=3344
*5s: GLB=296432.324, best=2451975.000, gap=87.910%, AF=0.886, #solved=3603
*5s: GLB=296432.324, best=2451975.000, gap=87.910%, AF=0.886, #solved=3743
*6s: GLB=296432.324, best=2451975.000, gap=87.910%, AF=0.886, #solved=4007
*6s: GLB=296432.324, best=2451975.000, gap=87.910%, AF=0.886, #solved=4379
*6s: GLB=296432.324, best=2451975.000, gap=87.910%, AF=0.886, #solved=4449
*6s: GLB=296432.324, best=2451975.000, gap=87.910%, AF=0.886, #solved=4534
