*********************************
*   heur_quadratic  dpt: 1
*********************************
Parallel mode ----------------------------------------------------------------------------------------
*3s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=1
*3s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=2
*3s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=3
*3s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=4
*3s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=5
*3s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=6
*3s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=7
*3s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=8
*3s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=9
*3s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=10
*3s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=11
*3s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=12
*3s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=15
*3s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=22
*3s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=24
*3s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=26
*4s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=29
*4s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=38
*4s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=41
*4s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=44
*4s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=56
*4s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=61
*6s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=94
*6s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=96
*7s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=121
*7s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=122
*8s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=150
*8s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=165
*8s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=174
*14s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=347
*35s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=1017
*37s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=1070
*43s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=1292
*46s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=1406
*46s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=1409
*47s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=1438
*48s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=1505
*53s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=1691
*53s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=1717
*65s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=2274
*67s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=2350
*68s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=2436
*70s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=2543
*71s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=2568
*73s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=2720
*74s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=2733
*74s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=2762
*75s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=2821
*75s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=2823
*77s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=2952
*77s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=2972
*84s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=3610
*84s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=3658
*86s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=3792
*87s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=3958
*87s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=3973
*88s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=4022
*88s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=4035
*88s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=4082
*88s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=4086
*89s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=4140
*89s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=4157
*89s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=4206
*89s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=4213
*94s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=4976
*95s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=5160
*95s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=5247
*95s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=5289
*96s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=5319
*96s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=5323
*96s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=5347
*96s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=5380
*96s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=5384
*96s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=5466
*97s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=5544
*97s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=5608
*97s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=5674
*98s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=5844
*99s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=6355
*100s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=6447
*100s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=6621
*100s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=6634
*100s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=6656
*101s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=6789
*101s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=6834
*101s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=6837
*101s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=6850
*101s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=6891
*101s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=6928
*101s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=7015
*101s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=7029
*102s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=7267
*103s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=7827
*103s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=8019
*103s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=8089
*103s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=8154
*103s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=8170
*103s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=8184
*103s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=8213
*103s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=8224
*104s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=8245
*104s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=8347
*104s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=8380
*104s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=8381
*104s: GLB=265473.163, best=3335013.000, gap=92.040%, AF=1.013, #solved=8382
